la,0-4,5-9,10-19,20-49,50-99,100-249,250+
E07000041,2830,580,340,185,75,30,35
E07000042,3680,480,210,95,25,15,5
E07000043,3750,625,295,140,45,25,15
E07000044,3850,645,320,165,45,15,10
E07000045,4305,695,360,200,50,35,10
E07000046,2900,420,165,90,35,15,0
E07000047,2535,370,150,80,15,5,5
E07000048,1490,265,115,80,25,10,10
E07000049,3395,525,240,145,35,20,5
E07000050,2765,435,175,80,25,15,5
E07000051,1545,280,160,75,25,5,0
E07000052,4175,725,355,165,55,20,15
E07000053,1325,240,115,65,15,5,5
E07000078,4125,575,320,160,55,25,20
E07000079,4725,695,365,170,55,20,15
E07000080,3020,455,190,115,25,15,5
E07000081,2655,455,240,145,60,50,20
E07000082,4665,665,340,190,60,30,15
E07000083,3185,460,250,150,40,30,25
E07000187,4465,670,365,175,50,25,10
E07000188,3775,640,255,155,40,15,10
E07000189,5640,785,385,245,70,35,15
E07000190,3690,545,260,165,50,20,30
E07000191,1390,235,90,45,10,5,0
W06000001,1920,325,140,80,20,5,5
W06000002,4090,670,345,155,40,15,10
W06000003,3295,595,270,160,40,15,5
W06000004,2735,495,240,130,30,10,10
W06000005,3865,670,315,190,50,30,20
W06000006,3090,525,260,130,35,25,15
W06000023,7150,935,355,180,50,15,10
W06000008,3240,435,215,95,15,15,0
W06000009,4235,735,315,175,40,20,5
W06000010,6190,865,375,200,55,15,20
W06000011,4540,870,450,270,75,40,20
W06000012,2155,470,200,125,40,20,10
W06000013,2660,520,245,155,45,20,10
W06000014,3320,540,240,100,30,15,5
W06000015,8370,1395,790,405,135,80,65
W06000016,4630,740,350,170,55,30,25
W06000024,975,180,85,55,10,5,5
W06000018,2925,540,245,145,50,30,20
W06000019,915,165,90,30,10,5,10
W06000020,1465,330,170,90,20,15,10
W06000021,3530,525,215,105,25,20,10
W06000022,3155,495,220,155,35,25,20
S12000033,6575,875,590,365,150,80,65
S12000034,11245,1485,705,395,105,35,30
S12000041,2950,570,230,135,25,20,10
S12000035,2895,560,270,105,20,15,5
S12000036,13870,2320,1305,595,200,135,105
S12000005,865,135,80,35,5,5,5
S12000006,4560,1015,440,190,40,20,15
S12000042,2300,470,290,160,45,30,20
S12000008,2440,430,205,100,25,15,10
S12000045,2405,335,170,70,15,10,5
S12000010,2390,400,200,105,25,5,10
S12000011,2190,260,145,60,15,10,5
S12000014,2830,490,260,105,45,25,15
S12000015,7030,1395,650,335,100,35,35
S12000046,12715,2555,1530,720,270,150,120
S12000017,8200,1375,695,325,90,45,20
S12000018,1230,255,105,50,20,15,10
S12000019,1730,320,165,105,25,5,5
S12000020,2385,440,210,110,25,15,10
S12000013,890,150,75,40,5,0,5
S12000021,2460,475,205,105,30,15,10
S12000044,5585,975,490,250,85,45,30
S12000023,1155,175,75,60,5,0,0
S12000024,4535,860,430,200,70,25,15
S12000038,3300,635,355,155,55,35,30
S12000026,3795,770,265,150,30,25,10
S12000027,1135,175,105,50,15,5,5
S12000028,2615,515,240,125,35,20,15
S12000029,6760,1170,565,280,95,40,30
S12000030,2980,460,250,120,45,15,15
S12000039,1310,265,140,80,10,20,5
S12000040,3405,605,295,145,45,45,20
